(15-05-2025 13:16:20) | werkzeug | INFO | [31m[1mWARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.[0m
 * Running on http://127.0.0.1:9000
(15-05-2025 13:16:20) | werkzeug | INFO | [33mPress CTRL+C to quit[0m
(15-05-2025 13:16:20) | werkzeug | INFO |  * Restarting with stat
(15-05-2025 13:16:21) | werkzeug | WARNING |  * Debugger is active!
(15-05-2025 13:16:21) | werkzeug | INFO |  * Debugger PIN: 105-790-275
(15-05-2025 13:16:51) | werkzeug | INFO | 127.0.0.1 - - [15/May/2025 13:16:51] "GET / HTTP/1.1" 200 -
(15-05-2025 13:16:52) | werkzeug | INFO | 127.0.0.1 - - [15/May/2025 13:16:52] "GET /static/main.css HTTP/1.1" 200 -
(15-05-2025 13:16:52) | werkzeug | INFO | 127.0.0.1 - - [15/May/2025 13:16:52] "GET /static/header.css HTTP/1.1" 200 -
(15-05-2025 13:16:52) | werkzeug | INFO | 127.0.0.1 - - [15/May/2025 13:16:52] "GET /static/home.css HTTP/1.1" 200 -
(15-05-2025 13:16:53) | werkzeug | INFO | 127.0.0.1 - - [15/May/2025 13:16:53] "GET /static/js/main.js HTTP/1.1" 200 -
(15-05-2025 13:16:53) | werkzeug | INFO | 127.0.0.1 - - [15/May/2025 13:16:53] "[33mGET /favicon.ico HTTP/1.1[0m" 404 -
(15-05-2025 13:17:16) | werkzeug | INFO | 127.0.0.1 - - [15/May/2025 13:17:16] "POST /send_message HTTP/1.1" 200 -
(15-05-2025 13:17:32) | werkzeug | INFO | 127.0.0.1 - - [15/May/2025 13:17:32] "POST /send_message HTTP/1.1" 200 -
(15-05-2025 13:17:46) | werkzeug | INFO | 127.0.0.1 - - [15/May/2025 13:17:46] "POST /send_message HTTP/1.1" 200 -
(15-05-2025 13:18:26) | werkzeug | INFO | 127.0.0.1 - - [15/May/2025 13:18:26] "POST /send_message HTTP/1.1" 200 -
(15-05-2025 13:24:00) | werkzeug | INFO | 127.0.0.1 - - [15/May/2025 13:24:00] "GET / HTTP/1.1" 200 -
(15-05-2025 13:24:00) | werkzeug | INFO | 127.0.0.1 - - [15/May/2025 13:24:00] "[36mGET /static/main.css HTTP/1.1[0m" 304 -
(15-05-2025 13:24:00) | werkzeug | INFO | 127.0.0.1 - - [15/May/2025 13:24:00] "[36mGET /static/header.css HTTP/1.1[0m" 304 -
(15-05-2025 13:24:00) | werkzeug | INFO | 127.0.0.1 - - [15/May/2025 13:24:00] "[36mGET /static/home.css HTTP/1.1[0m" 304 -
(15-05-2025 13:24:00) | werkzeug | INFO | 127.0.0.1 - - [15/May/2025 13:24:00] "[36mGET /static/js/main.js HTTP/1.1[0m" 304 -
(15-05-2025 13:24:07) | werkzeug | INFO | 127.0.0.1 - - [15/May/2025 13:24:07] "POST /send_message HTTP/1.1" 200 -
(15-05-2025 13:25:03) | werkzeug | INFO | 127.0.0.1 - - [15/May/2025 13:25:03] "GET / HTTP/1.1" 200 -
(15-05-2025 13:25:03) | werkzeug | INFO | 127.0.0.1 - - [15/May/2025 13:25:03] "[36mGET /static/main.css HTTP/1.1[0m" 304 -
(15-05-2025 13:25:03) | werkzeug | INFO | 127.0.0.1 - - [15/May/2025 13:25:03] "[36mGET /static/header.css HTTP/1.1[0m" 304 -
(15-05-2025 13:25:03) | werkzeug | INFO | 127.0.0.1 - - [15/May/2025 13:25:03] "[36mGET /static/home.css HTTP/1.1[0m" 304 -
(15-05-2025 13:25:03) | werkzeug | INFO | 127.0.0.1 - - [15/May/2025 13:25:03] "[36mGET /static/js/main.js HTTP/1.1[0m" 304 -
